"lang"
{
    "Language"	    "german"
        "DOTA_Tooltip_Ability_item_seal_1_Description"         "<font color='#FFD700'>Relikt</font><br>Die Eigenschaften der Reliquien werden mit ihrer Ebene multipliziert.\n<h1>Aktiviert: Spuk</h1> Für 1 Sekunde gibt der Held eine gespenstische Form, in der er vor physischem Schaden geschützt ist, aber %extra_spell_damage_percent%%% mehr magischen Schaden nimmt.\n<h1>Passive: Overload</h1> Nach drei Angriffen gibt es eine Ladung Energie in einen zufälligen Gegner ab und verursacht 150% des Hauptschadens des Besitzers.\n<h1>Passive: Armor</h1> Wenn du einen Schaden von 10% deiner maximalen Gesundheit erhältst, erhältst du oder deine zufällige Verbündete +5 Rüstung für 5 Sekunden.\n<h1>Passive: Cooldown</h1> Wenn du eine Fähigkeit benutzt, wird die verbleibende Erholungszeit aller Fähigkeiten um 1 Sekunde verringert."
        "DOTA_Tooltip_ability_item_seal_1_bonus_damage_for_wawe"	"+ Schaden für Welle"
        "DOTA_Tooltip_ability_item_seal_1_bonus_armor_for_wawe"	"+ Rüstung für Welle"
        "DOTA_Tooltip_ability_item_seal_1_bonus_mag_res_for_wawe"	"%+  magischer Widerstand für Welle"
        "DOTA_Tooltip_ability_item_seal_1_bonus_attack_speed_for_wawe"	"+ Angriffsgeschwindigkeit für Welle"
        "DOTA_Tooltip_ability_item_seal_1_bonus_all_stats_for_wawe"	"+ alle Attribute für Welle"
        "DOTA_Tooltip_ability_item_seal_1_bonus_spell_amp_for_wawe"	"%+ Fähigkeitsschaden für Welle"
        "DOTA_Tooltip_ability_item_seal_1_bonus_mana_cst_for_wawe"	"%+ magischer Vampirismus für Welleу"
        "DOTA_Tooltip_mod_seal_1"	"Seal"
        "DOTA_Tooltip_mod_seal_1_Description"	"+ %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% Schaden<br>+ %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% Rüstung<br>+ %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%% magischer Widerstand<br>+ %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% Angriffsgeschwindigkeit<br>+ %dMODIFIER_PROPERTY_STATS_AGILITY_BONUS% alle Attribute<br>+ %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% Fähigkeitsschaden<br>+ %dMODIFIER_PROPERTY_TOOLTIP%%% magischer Vampirismus"
        //"DOTA_Tooltip_Ability_item_recipe_seal_5"	"Rezept: Das abschließende Siegel"
        
        "DOTA_Tooltip_Ability_item_seal_act"         "Aktiviertes Siegel"
        "DOTA_Tooltip_Ability_item_seal_act_Description"         "<font color='#FFD700'>Relikt</font><br>Die Eigenschaften der Reliquien werden mit ihrer Ebene multipliziert.\n<h1>Aktiviert: Spuk</h1> Für 1 Sekunde gibt der Held eine gespenstische Form, in der er vor physischem Schaden geschützt ist, aber %extra_spell_damage_percent%%% mehr magischen Schaden nimmt.\n<h1>Passive: Overload</h1> Nach drei Angriffen gibt es eine Ladung Energie in einen zufälligen Gegner ab und verursacht 150% des Hauptschadens des Besitzers.\n<h1>Passive: Armor</h1> Wenn du einen Schaden von 10% deiner maximalen Gesundheit erhältst, erhältst du oder deine zufällige Verbündete +5 Rüstung für 5 Sekunden.\n<h1>Passive: Cooldown</h1> Wenn du eine Fähigkeit benutzt, wird die verbleibende Erholungszeit aller Fähigkeiten um 1 Sekunde verringert."
        "DOTA_Tooltip_ability_item_seal_act_bonus_damage_for_wawe"	"+ Schaden für Welle"
        "DOTA_Tooltip_ability_item_seal_act_bonus_armor_for_wawe"	"+ Rüstung für Welle"
        "DOTA_Tooltip_ability_item_seal_act_bonus_mag_res_for_wawe"	"%+  magischer Widerstand für Welle"
        "DOTA_Tooltip_ability_item_seal_act_bonus_attack_speed_for_wawe"	"+ Angriffsgeschwindigkeit für Welle"
        "DOTA_Tooltip_ability_item_seal_act_bonus_all_stats_for_wawe"	"+ alle Attribute für Welle"
        "DOTA_Tooltip_ability_item_seal_act_bonus_spell_amp_for_wawe"	"%+ Fähigkeitsschaden für Welle"
        "DOTA_Tooltip_ability_item_seal_act_bonus_mana_cst_for_wawe"	"%+ magischer Vampirismus für Welle"
        
        "DOTA_Tooltip_Ability_item_seal_act_r"         "Aktiviertes Siegelbasis"
        "DOTA_Tooltip_Ability_item_seal_act_r_Description"         "<font color='#FFD700'>Relikt</font>\nWird anstelle von Siegelbasis automatisch ausgegeben, wenn alle Relikte Level 20 oder höher sind. "
        
        //###############################################################################################################################
        
        "DOTA_Tooltip_Ability_item_upgraded_mjollnir"	"Verbessert Mjollnir"
        "DOTA_Tooltip_ability_item_upgraded_mjollnir_Description"	"<h1>Aktiviert: Statische Aufladung</h1> Für %static_duration% Sekunden ist die gewählte Kreatur von einem geladenen Schild umgeben, der mit einer Wahrscheinlichkeit von %static_chance%%% kann %static_damage% magischen Schaden für den angreifenden Gegner und %static_strikes% für andere verursachen.<br><br>Einsatzbereich: %tooltip_range%\n<h1>Passive: Kettenblitz</h1> Jeder Angriff mit einer Wahrscheinlichkeit von %chain_chance%%% kann eine Kettenblitzentladung erzeugen, bei der %chain_strikes% zwischen zufälligen Gegnern innerhalb von %chain_radius% springen und jedem %chain_damage% magischen Schaden zufügen."
        "DOTA_Tooltip_ability_item_upgraded_mjollnir_Lore"	"Der magische Hammer von Thor, geschmiedet von den Gnomen namens Brock und Atri."
        "DOTA_Tooltip_ability_item_upgraded_mjollnir_bonus_damage"	"+$damage"
        "DOTA_Tooltip_ability_item_upgraded_mjollnir_bonus_attack_speed"	"+$attack"
        
        "DOTA_Tooltip_Ability_item_upgraded_pipe"	"Verbessert Pipe of Insight"
        "DOTA_Tooltip_ability_item_upgraded_pipe_Description"	"<h1>Aktiviert: Erschafft eine Barriere für den Besitzer und seine Verbündeten, die den magischen Schaden von %barrier_block%  blockieren. Gültige %barrier_duration% Sekunden.<br><br>Radius: %barrier_radius%\n<h1>Passive: Insight Aura</h1>Wirkt auf Verbündete um. Erhöht ihre Abklingzeit um %aura_health_regen% und Magieresistenz um %magic_resistance_aura%%%.<br><br>Radius: %aura_radius%"
        "DOTA_Tooltip_ability_item_upgraded_pipe_Lore"	"Ein mächtiges Artefakt von geheimnisvoller Herkunft. Er schafft Barrieren, die vor magischen Kräften schützen."
        "DOTA_Tooltip_ability_item_upgraded_pipe_health_regen"	"+$hp_regen"
        "DOTA_Tooltip_ability_item_upgraded_pipe_magic_resistance"	"%+$spell_resist"
		"DOTA_Tooltip_ability_item_upgraded_pipe_bonus_all_stats"					"+$all"
        
        "DOTA_Tooltip_Ability_item_upgraded_butterfly"	"Verbessert Butterfly"
        "DOTA_Tooltip_ability_item_upgraded_butterfly_Lore"	"ЭDiese Klinge kann nur von den mächtigsten und erfahrensten Kriegern gebändigt werden, aber sie verleiht dem Besitzer unglaubliche Beweglichkeit im Kampf."
        "DOTA_Tooltip_ability_item_upgraded_butterfly_bonus_agility"	"+$agi"
        "DOTA_Tooltip_ability_item_upgraded_butterfly_bonus_damage"	"+$damage"
        "DOTA_Tooltip_ability_item_upgraded_butterfly_bonus_evasion"	"%+$evasion"
        "DOTA_Tooltip_ability_item_upgraded_butterfly_bonus_attack_speed"	"+$attack"
        
        "DOTA_Tooltip_Ability_item_upgraded_desolator"	"Verbessert Desolator"
        "DOTA_Tooltip_ability_item_upgraded_desolator_Description"	"<h1>Passive: Korruption</h1> Angriffe reduzieren die Zielrüstung um %corruption_armor%. Der Effekt dauert %corruption_duration% Sekunden."
        "DOTA_Tooltip_ability_item_upgraded_desolator_Lore"	"Diese unreinen Waffen folterten politische Verbrecher."
        "DOTA_Tooltip_ability_item_upgraded_desolator_bonus_damage"	"+$damage"
        
        "DOTA_Tooltip_Ability_item_upgraded_sange_and_yasha"	"Verbessert Sange and Yasha"
        "DOTA_Tooltip_ability_item_upgraded_sange_and_yasha_Lore"	"Sange und Yasha, versammelt und im Mondlicht geführt, werden zu einer gewaltigen Waffe."
        "DOTA_Tooltip_ability_item_upgraded_sange_and_yasha_bonus_damage"	"+$damage"
        "DOTA_Tooltip_ability_item_upgraded_sange_and_yasha_bonus_strength"	"+$str"
        "DOTA_Tooltip_ability_item_upgraded_sange_and_yasha_bonus_agility"	"+$agi"
        "DOTA_Tooltip_ability_item_upgraded_sange_and_yasha_bonus_attack_speed"	"+$attack"
        "DOTA_Tooltip_ability_item_upgraded_sange_and_yasha_movement_speed_percent_bonus"	"%+$move_speed"
		"DOTA_Tooltip_ability_item_upgraded_sange_and_yasha_status_resistance"					"%+Status Resistance"
        
        "DOTA_Tooltip_Ability_item_upgraded_satanic"	"Verbessert Satanic"
        "DOTA_Tooltip_ability_item_upgraded_satanic_Description"	"<h1>Aktiviert: Unheilige Wut</h1> <font size='smaller'>rhöht den Effekt von Vampirismus auf %unholy_lifesteal_total_tooltip%%% um %unholy_duration% Sekunden.</font>\n<h1>Passive: Lifesteal</h1> Bei jedem Angriff wird dem Besitzer Gesundheit in Höhe von %lifesteal_percent%%% des erlittenen Schadens zurückgegeben."
        "DOTA_Tooltip_ability_item_upgraded_satanic_Lore"	"Kolossale Kraft im Austausch für deine Seele."
        "DOTA_Tooltip_ability_item_upgraded_satanic_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_upgraded_satanic_bonus_damage"						"+$damage"
		"DOTA_Tooltip_ability_item_upgraded_satanic_status_resistance"					"%+Status Resistance"
        
        "DOTA_Tooltip_Ability_item_upgraded_greater_crit"	"Verbessert Daedalus"
        "DOTA_Tooltip_ability_item_upgraded_greater_crit_Description"	"<h1>Passive: Kritische Treffer</h1> Jeder Angriff kann mit der Wahrscheinlichkeit in %crit_chance%%% %tooltip_crit_damage%%% Schaden verursachen gegenüber normalen Angriffen."
        "DOTA_Tooltip_ability_item_upgraded_greater_crit_Lore"	"Waffen von unglaublicher Stärke, die selbst der mächtigste Krieger nicht leicht zu handhaben ist."
        "DOTA_Tooltip_ability_item_upgraded_greater_crit_bonus_damage"	"+$damage"
        
        "DOTA_Tooltip_Ability_item_upgraded_monkey_king_bar"	"Verbessert Monkey King Bar"
        "DOTA_Tooltip_ability_item_upgraded_monkey_king_bar_Description"	"<h1>Passive: Pierce</h1> Jeder Angriff kann mit der Wahrscheinlichkeit in %bonus_chance%%% durch Umgehung und %bonus_chance_damage% zusätzlichen magischen Schaden verursachen."
        "DOTA_Tooltip_ability_item_upgraded_monkey_king_bar_Lore"	"Mächtiges Personal im Besitz eines brillanten Kriegers."
        "DOTA_Tooltip_ability_item_upgraded_monkey_king_bar_bonus_attack_speed"	"+$attack"
        "DOTA_Tooltip_ability_item_upgraded_monkey_king_bar_bonus_damage"	"+$damage"
        
        "DOTA_Tooltip_Ability_item_upgraded_heart"	"Verbessert Heart of Tarrasque"
        "DOTA_Tooltip_ability_item_upgraded_heart_Description"	"<h1>Passive: Heilung</h1> Stellt %health_regen_rate%%% der maximalen Gesundheit pro Sekunde wieder her. <br><br>Wenn du von einem feindlichen Helden oder Roshan Schaden erleidest, wird die Fähigkeit um %cooldown_melee% Sekunden für Nahkampfhelden oder %cooldown_ranged_tooltip% Sekunden für Fernhelden ausgeschaltet."
        "DOTA_Tooltip_ability_item_upgraded_heart_Lore"	"Das überlebende Herz eines ausgestorbenen Monsters, das die Widerstandsfähigkeit des Besitzers stärkt."
        "DOTA_Tooltip_ability_item_upgraded_heart_bonus_strength"	"+$str"
        "DOTA_Tooltip_ability_item_upgraded_heart_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_upgraded_heart_hp_regen_amp"							"%+Health Regen Amplification"
        
        "DOTA_Tooltip_Ability_item_upgraded_diffusal_blade"	"Verbessert Diffusal Blade"
        "DOTA_Tooltip_ability_item_upgraded_diffusal_blade_Description"	"<h1>Aktiviert: Inhibit</h1> Verlangsamt den Gegner um %purge_slow_duration%  Sekunden.<br><br>Einsatzbereich: %cast_range_tooltip%\n<h1>Passive: Manabreak</h1> Jeder Angriff brennt %feedback_mana_burn% nd verursacht %damage_per_burn% an physischem Schaden pro verbranntem Mana.<br><br>Die Illusionen von Nahkämpferhelden werden bei %feedback_mana_burn_illusion_melee% mana pro Angriff verbrannt, und ranged - %feedback_mana_burn_illusion_ranged%."
        "DOTA_Tooltip_ability_item_upgraded_diffusal_blade_Lore"	"Verzaubertes Schwert, mit dem du dich in die Seele des Feindes schneiden kannst."
        "DOTA_Tooltip_ability_item_upgraded_diffusal_blade_bonus_agility"	"+$agi"
        "DOTA_Tooltip_ability_item_upgraded_diffusal_blade_bonus_intellect"	"+$int"
        
        "dota_tooltip_ability_item_imba_ultimate_scepter_synth"                                              "Aghanim's Synth"
        "dota_tooltip_ability_item_imba_ultimate_scepter_synth_description"                                  "<h1>Ausnutzung: Aghanim's Synth</h1> Wenn er aktiviert wird, absorbiert er den Gegenstand und gibt alle Aghanims Zepter-Boni als permanenten Stärkungszauber.\n\n<font color='#00FF40'>МKann nur einmal geschluckt werden.</font>"
        "DOTA_Tooltip_Ability_item_recipe_imba_ultimate_scepter_synth"	"Rezept: Aghanim's Synth"
        "dota_tooltip_modifier_item_ultimate_scepter_consumed"                                               "Aghanim's Scepter Synth"
        "dota_tooltip_modifier_item_ultimate_scepter_consumed_description"                                   "Gibt permanent alle Boni von Aghanims Zepter: Ultimatives Upgrade, +10 auf alle Attribute, +175 auf Gesundheit, +175 auf Mana"
        
        "dota_tooltip_ability_item_aluneth"                                                         "Aluneth"
        "dota_tooltip_ability_item_aluneth_description"                                             "<h1>Passive: Aethereal Focus</h1> Erhöht den Bereich der Fähigkeiten und Gegenstände um %cast_range%."
        "DOTA_Tooltip_ability_item_aluneth_bonus_mana"	                                            "+$mana"
        "DOTA_Tooltip_ability_item_aluneth_mana_regen"	                                    "%+$mana_regen"
        "DOTA_Tooltip_ability_item_aluneth_bonus_int"	                                            "+$int"
        "DOTA_Tooltip_ability_item_aluneth_bonus_str"	                                            "+$str"
        "DOTA_Tooltip_ability_item_aluneth_bonus_agi"	                                            "+$agi"
        "DOTA_Tooltip_ability_item_aluneth_spell_amp"	                                            "%+zu Fähigkeitsschaden"
        "DOTA_Tooltip_ability_item_aluneth_bonus_cdr"	                                            "%Reduzierter Verbrauch und Verlust von Mana:"
        
        //###############################################################################################################################
        //##################################################Level 1######################################################################
        //###############################################################################################################################
        
        "DOTA_Tooltip_Ability_item_light_fire_earth"         "Feuerschwert"
        "DOTA_Tooltip_Ability_item_light_fire_earth_Description"         "<h1>Passive: Feuerangriff</h1>Angreifende Gegner setzen sie für %duration% Sekunden in Brand.<br><br>Brandschaden pro Sekunde:%dps%"
        "DOTA_Tooltip_Ability_item_light_fire_earth_damage"         "+$damage"
        "DOTA_Tooltip_Ability_item_light_fire_earth_armor"         "+$armor"
        "DOTA_Tooltip_Ability_item_light_fire_earth_hp"         "+$health"
        
        "DOTA_Tooltip_Ability_item_light_life_earth"         "Speer des Lebens"
        "DOTA_Tooltip_Ability_item_light_life_earth_Description"         "<h1>Aktiviert: Wiederherstellen</h1>Stellt %heal% Gesundheit für alle Verbündeten wieder her."
        "DOTA_Tooltip_Ability_item_light_life_earth_regen"         "+$hp_regen"
        "DOTA_Tooltip_Ability_item_light_life_earth_armor"         "+$armor"
        "DOTA_Tooltip_Ability_item_light_life_earth_hp"         "+$health"
        
        "DOTA_Tooltip_Ability_item_air_earth_shadow"         "Erdspeer"
        "DOTA_Tooltip_Ability_item_air_earth_shadow_Description"         "<h1>Passive: Aura</h1>EXTR. ANGRIFFSGESCHWINDIGKEIT VON AURA: %attack_speed%<br>EXTR. RÜSTUNG VON AURA: %armor%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_air_earth_attack_speed"         "EXTR. ANGRIFFSGESCHWINDIGKEIT VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_earth_shadow_armor"         "EXTR. RÜSTUNG VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_earth_shadow_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_air_life_void"         "Stein der Leere"
        "DOTA_Tooltip_Ability_item_air_life_void_Description"         "<h1>Passive: Aura</h1>KUR VON AURA: %regen%<br>MANAREGENERATION VON AURA: %mana_regen%<br>DODGERS VON AURA: %evasion%%%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_air_life_void_regen"         "KUR VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_life_void_mana_regen"         "%MANAREGENERATION VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_life_void_evasion"         "%DODGERS VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_life_void_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_air_fire_life"         "Feuerstein"
        "DOTA_Tooltip_Ability_item_air_fire_life_Description"         "<h1>Passive: Aura</h1>KUR VON AURA: %regen%<br>EXTR. SCHADEN VON AURA: %damage%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_air_fire_life_regen"         "KUR VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_fire_life_damage"         "EXTR. SCHADEN VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_fire_life_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_light_life_ice"         "Lebensstein"
        "DOTA_Tooltip_Ability_item_light_life_ice_Description"         ""
        "DOTA_Tooltip_Ability_item_light_life_ice_hp"         "+$health"
        "DOTA_Tooltip_Ability_item_light_life_ice_regen"         "+$hp_regen"
        "DOTA_Tooltip_Ability_item_light_life_ice_damage"         "+$damage"
        "DOTA_Tooltip_Ability_item_light_life_ice_speed"         "+$move_speed"
        
        "DOTA_Tooltip_Ability_item_energy_fire_void"         "Leere Talisman"
        "DOTA_Tooltip_Ability_item_energy_fire_void_Description"         "<h1>Passive: Wurzel</h1>Angriffe immobilisieren Gegner für %duration% Sekunden."
        "DOTA_Tooltip_Ability_item_energy_fire_void_mana_regen"         "+$mana_regen"
        "DOTA_Tooltip_Ability_item_energy_fire_void_int"         "+$int"
        "DOTA_Tooltip_Ability_item_energy_fire_void_damage"         "+$damage"
        
        "DOTA_Tooltip_Ability_item_energy_shadow_water"         "Ring aus Wasser"
        "DOTA_Tooltip_Ability_item_energy_shadow_water_Description"         ""
        "DOTA_Tooltip_Ability_item_energy_shadow_water_attack_speed"         "+$attack"
        "DOTA_Tooltip_Ability_item_energy_shadow_water_int"         "+$int"
        "DOTA_Tooltip_Ability_item_energy_shadow_water_agil"         "+$agi"
        "DOTA_Tooltip_Ability_item_energy_shadow_water_miss"         "%+$evasion"
        
        "DOTA_Tooltip_Ability_item_energy_earth_water"         "Energieschild
"
        "DOTA_Tooltip_Ability_item_energy_earth_water_Description"         "<h1>Aktiviert: Schild</h1>Erzeugt einen Schild, der den erlittenen Schaden absorbiert.<br><br>MAX. SCHADENSABSORPTION: %damage_absorb%<br>DAUER: %duration%"
        "DOTA_Tooltip_Ability_item_energy_earth_water_all_stats"         "+ zu alle Attribute"
        //"DOTA_Tooltip_Ability_item_energy_earth_water_damage_absorb"         "MAX. SCHADENSABSORPTION:"
        //"DOTA_Tooltip_Ability_item_energy_earth_water_duration"         "DAUER:"
        
        "DOTA_Tooltip_Ability_item_energy_void_ice"         "Energie axt"
        "DOTA_Tooltip_Ability_item_energy_void_ice_Description"         "<h1>Passive: Cooldown Reduzierung</h1>Verringert die Abklingzeit aller Fähigkeiten und Gegenstände um %cooldown%%."
        "DOTA_Tooltip_Ability_item_energy_void_ice_mana"         "+$mana"
        "DOTA_Tooltip_Ability_item_energy_void_ice_mana_regen"         "+$mana_regen"
        
        "DOTA_Tooltip_Ability_item_energy_light_air"         "Schild des Lichts"
        "DOTA_Tooltip_Ability_item_energy_light_air_Description"         "<h1>Passive: Aura</h1>EXTR. GESUNDHEIT VON AURA: %hp%<br>INTELLEKT VON AURA: %int%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_energy_light_air_hp"         "EXTR. GESUNDHEIT VON AURA:"
        //"DOTA_Tooltip_Ability_item_energy_light_air_int"         "INTELLEKT VON AURA:"
        //"DOTA_Tooltip_Ability_item_energy_light_air_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_energy_life_fire"         "Feuerklingen"
        "DOTA_Tooltip_Ability_item_energy_life_fire_Description"         "<h1>Passive: Korruption</h1>Angriffe reduzieren die Zielrüstung um %min_armor%. Effekt dauert %duration% Sekunden."
        "DOTA_Tooltip_Ability_item_energy_life_fire_magic_res"         "%+$spell_resist"
        "DOTA_Tooltip_Ability_item_energy_life_fire_damage_per"         "%+$damage"
        
        "DOTA_Tooltip_Ability_item_fire_earth_water"         "Feuerhammer"
        "DOTA_Tooltip_Ability_item_fire_earth_water_Description"         "<h1>Passive: Pierce</h1>Jeder Angriff kann %bonus_chance_damage% zusätzlichen Schaden mit der Wahrscheinlichkeit %bonus_chance%% verursachen."
        "DOTA_Tooltip_Ability_item_fire_earth_water_agil"         "+$agi"
        "DOTA_Tooltip_Ability_item_fire_earth_water_str_agil"         "+$str"
        "DOTA_Tooltip_Ability_item_fire_earth_water_damage"         "+$damage"
        
        "DOTA_Tooltip_Ability_item_water_life_shadow"         "Wasserklingen"
        "DOTA_Tooltip_Ability_item_water_life_shadow_Description"         "<h1>Passive: Reflexion</h1>%otrash%% des erlittenen Schadens spiegeln sich im Angreifer wider."
        "DOTA_Tooltip_Ability_item_water_life_shadow_attack_speed"         "+$attack"
        "DOTA_Tooltip_Ability_item_water_life_shadow_agil"         "+$agi"
        "DOTA_Tooltip_Ability_item_water_life_shadow_hp_regen"         "+$hp_regen"
        
        "DOTA_Tooltip_Ability_item_light_water_void"         "Stab des Lichtes"
        "DOTA_Tooltip_Ability_item_light_water_void_Description"         "<h1>Passive: Geist</h1> - NUR FÜR FERNHELDEN - Neben dir gibt es einen Geist, der Gegner im Umkreis von 750 angreift.<br>Geistschaden entspricht dem weißen Schaden des Besitzers."
        "DOTA_Tooltip_Ability_item_light_water_void_hp"         "+$health"
        "DOTA_Tooltip_Ability_item_light_water_void_agil"         "+$agi"
        "DOTA_Tooltip_Ability_item_light_water_void_mana_regen"         "+$mana_regen"
        
        "DOTA_Tooltip_Ability_item_ice_air_water"         "Eisschild"
        "DOTA_Tooltip_Ability_item_ice_air_water_Description"         "<h1>Passive: Eisschild</h1>Verlangsamt angreifende Gegner.\n<h1>Passive: Aura</h1>EXTR. RÜSTUNG VON AURA: %armor%<br>EXTR. MANA VON AURA: %mana%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_ice_air_water_armor"         "EXTR. RÜSTUNG VON AURA:"
        //"DOTA_Tooltip_Ability_item_ice_air_water_mana"         "EXTR. MANA VON AURA:"
        //"DOTA_Tooltip_Ability_item_ice_air_water_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_shadow_light_ice"         "Eisschwert"
        "DOTA_Tooltip_Ability_item_shadow_light_ice_Description"         "<h1>Aktiviert: Eis</h1>Verursacht %adamage% Schaden."
        "DOTA_Tooltip_Ability_item_shadow_light_ice_attack_speed"         "+$attack"
        "DOTA_Tooltip_Ability_item_shadow_light_ice_mana"         "+$mana"
        "DOTA_Tooltip_Ability_item_shadow_light_ice_hp"         "+$health"
        
        "DOTA_Tooltip_Ability_item_ice_shadow_air"         "Ring aus Eis"
        "DOTA_Tooltip_Ability_item_ice_shadow_air_Description"         "<h1>Passive: Aura</h1>EXTR. MAGISCHER WIDERSTAND VON AURA: %magic_res%%%<br>EXTR. MANA VON AURA: %mana%<br>EXTR. ANGRIFFSGESCHWINDIGKEIT VON AURA: %attack_speed%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_ice_shadow_air_magic_res"         "%EXTR. MAGISCHER WIDERSTAND VON AURA:"
        //"DOTA_Tooltip_Ability_item_ice_shadow_air_mana"         "EXTR. MANA VON AURA:"
        //"DOTA_Tooltip_Ability_item_ice_shadow_air_attack_speed"         "EXTR. ANGRIFFSGESCHWINDIGKEIT VON AURA:"
        //"DOTA_Tooltip_Ability_item_ice_shadow_air_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_void_ice_earth"         "Amulett des Vampirismus"
        "DOTA_Tooltip_Ability_item_void_ice_earth_Description"         "<h1>Passive: Lifesteal Aura</h1>VAMPIRISMUS VON AURA: %lifesteal_percent%%%<br>AURA RADIUS: %aura_radius%"
        "DOTA_Tooltip_Ability_item_void_ice_earth_armor"         "+$armor"
        "DOTA_Tooltip_Ability_item_void_ice_earth_hp"         "+$health"
        "DOTA_Tooltip_Ability_item_void_ice_earth_hp_regen"         "+$hp_regen"
        //"DOTA_Tooltip_Ability_item_void_ice_earth_lifesteal_percent"         "%VAMPIRISMUS VON AURA:"
        //"DOTA_Tooltip_Ability_item_void_ice_earth_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_void_fire_shadow"         "Schattenschwert"
        "DOTA_Tooltip_Ability_item_void_fire_shadow_Description"         "<h1>Passive: Seelengebunden</h1> - NUR FÜR NAHKAMPFHELDEN - %otrash%%  Der verursachte Schaden wird auch dem Feind zugefügt, den du angreifst."
        "DOTA_Tooltip_Ability_item_void_fire_shadow_damage"         "+$damage"
        "DOTA_Tooltip_Ability_item_void_fire_shadow_str"         "+$str"
        "DOTA_Tooltip_Ability_item_void_fire_shadow_attack_speed"         "+$attack"
        
        "DOTA_Tooltip_Ability_item_ice_life_energy"                     "Eisscholle"
        "DOTA_Tooltip_ability_item_ice_life_energy_mcst"	            "%Reduzierter Verbrauch und Verlust von Mana:"
        "DOTA_Tooltip_Ability_item_ice_life_energy_mana"                "+$mana"
        "DOTA_Tooltip_Ability_item_ice_life_energy_regen"               "+$hp_regen"
        
        "DOTA_Tooltip_Ability_item_shadow_energy_light"                     "Energie Klinge"
        "DOTA_Tooltip_ability_item_shadow_energy_light_spell_amp"           "%+zu Fähigkeitsschaden"
        "DOTA_Tooltip_Ability_item_shadow_energy_light_int"                 "+$int"
        "DOTA_Tooltip_Ability_item_shadow_energy_light_armor"               "+$armor"
        
        "DOTA_Tooltip_Ability_item_void_shadow_water"                     "Geheimnisstein"
        "DOTA_Tooltip_Ability_item_void_shadow_water_Description"         "<h1>Passive: Aethereal Focus</h1> Erhöht den Einsatzbereich von Fähigkeiten und Gegenständen um %cast_range%."
        "DOTA_Tooltip_Ability_item_void_shadow_water_mana_regen"          "+$mana_regen"
        "DOTA_Tooltip_Ability_item_void_shadow_water_mana"                "+$mana"
        
        "DOTA_Tooltip_Ability_item_air_fire_light"                      "Leichte Armbrust"
        "DOTA_Tooltip_Ability_item_air_fire_light_Description"          "<h1>Passive: Aura</h1>EXTR. GESUNDHEIT VON AURA: %hp%<br>EXTR. SCHADEN VON AURA: %damage%<br>EXTR. ANGRIFFSGESCHWINDIGKEIT VON AURA: %speed%<br>AURA RADIUS: %aura_radius%"
        
        "DOTA_Tooltip_Ability_item_void_light_life"                     "Urne des Lebens"
        "DOTA_Tooltip_Ability_item_void_light_life_Description"         "<h1>Aktiviert: Heilen</h1>Stellt %hps% Gesundheit pro Sekunde für den ausgewählten Verbündeten wieder her. <br><br>Gültig %duration%"
        "DOTA_Tooltip_Ability_item_void_light_life_mana_regen"          "+$mana_regen"
        "DOTA_Tooltip_Ability_item_void_light_life_hp"                  "+$health"
        "DOTA_Tooltip_Ability_item_void_light_life_regen"               "+$hp_regen"
        
        "DOTA_Tooltip_Ability_item_air_void_water"                      "Wasser Stein"
